Model,Value,% of Total
Owl Alpha,47185000,16.7
Qwen3.6 Plus,45287068,16.03
Ling-2.6-1T,38660131,13.69
Hy3 preview,35668610,12.63
Nemotron 3 Super,23909006,8.46
Gemini 3.1 Flash Lite Preview,20333316,7.2
KAT-Coder-Pro V2,17877812,6.33
DeepSeek V4 Flash,15105615,5.35
Ring-2.6-1T,15064233,5.33
Qwen3.6 Plus Preview,7031959,2.49
GLM 5.1,6029902,2.13
Step 3.5 Flash,2342112,0.83
MiniMax M2.5,1836319,0.65
MiniMax M3,1564920,0.55
Gemini 3.1 Flash Lite,1247950,0.44
Qwen3 235B A22B Thinking 2507,553344,0.2
Qwen3 VL 235B A22B Thinking,527378,0.19
MiniMax M2.7,491936,0.17
Qwen3.6 Flash,483899,0.17
Laguna M.1,268801,0.1
Laguna XS.2,235070,0.08
gpt-oss-120b,188037,0.07
Sonar,159262,0.06
Gemini 3 Flash Preview,83899,0.03
GLM 4.7 Flash,76744,0.03
o4 Mini Deep Research,62527,0.02
o3 Mini,33834,0.01
R1 0528,31813,0.01
Kimi K2.5,21956,0.01
Mistral Small 3.2 24B,21849,0.01
Claude Sonnet 4.6,17736,0.01
Kimi K2.6,16867,0.01
Nemotron 3 Ultra,14204,0.01
Nemotron 3 Nano Omni,13759,0
Gemini 2.5 Pro,11296,0
Gemini 3.5 Flash,7782,0
Nano Banana Pro (Gemini 3 Pro Image Preview),3281,0
Claude 3.5 Sonnet,2424,0
Llama 3.1 70B Instruct,1980,0
Mercury 2,1177,0
MiMo-V2.5,576,0
Trinity Large Preview,149,0
