Model,Value,% of Total
GLM 5.1,4.424414,24.23
KAT-Coder-Pro V2,2.217821,12.14
Gemini 3.1 Flash Lite Preview,2.078803,11.38
o4 Mini Deep Research,1.744252,9.55
Qwen3.6 Plus,1.639309,8.98
Hy3 preview,1.197618,6.56
Qwen3 235B A22B Thinking 2507,1.102569,6.04
DeepSeek V4 Flash,0.915478,5.01
Sonar,0.70426,3.86
Ring-2.6-1T,0.554856,3.04
Nano Banana Pro (Gemini 3 Pro Image Preview),0.278112,1.52
MiniMax M3,0.242928,1.33
MiniMax M2.7,0.148031,0.81
Gemini 3.1 Flash Lite,0.13929,0.76
Qwen3.6 Flash,0.124844,0.68
Gemini 3 Flash Preview,0.113586,0.62
o3 Mini,0.111512,0.61
Gemini 2.5 Pro,0.110884,0.61
Qwen3 VL 235B A22B Thinking,0.101303,0.55
Claude Sonnet 4.6,0.073476,0.4
Claude 3.5 Sonnet,0.06396,0.35
Kimi K2.6,0.054997,0.3
Gemini 3.5 Flash,0.053597,0.29
Kimi K2.5,0.033449,0.18
GLM 4.7 Flash,0.017145,0.09
Owl Alpha,0.01,0.05
Mistral Small 3.2 24B,0.003514,0.02
MiMo-V2.5,0.000884,0
Mercury 2,0.000869,0
Llama 3.1 70B Instruct,0.000791,0
MiniMax M2.5,0,0
Ling-2.6-1T,0,0
Step 3.5 Flash,0,0
R1 0528,0,0
Laguna M.1,0,0
Trinity Large Preview,0,0
gpt-oss-120b,0,0
Qwen3.6 Plus Preview,0,0
Nemotron 3 Nano Omni,0,0
Laguna XS.2,0,0
Nemotron 3 Ultra,0,0
Nemotron 3 Super,0,0
